dataset,model,max_length,lr,train_size,val_f1,test_acc,test_precision,test_recall,test_f1,run_dir
en,microsoft/mdeberta-v3-base,512,2e-05,full,0.9599,0.9676,0.9662,0.9685,0.9672,results/en__mdeberta-v3-base__ml512__lr2e-05__tsfull
en,xlm-roberta-large,128,1e-05,full,0.9637,0.9712,0.9696,0.9726,0.9709,results/en__xlm-roberta-large__ml128__lr1e-05__tsfull
en,xlm-roberta-large,128,2e-05,full,0.9673,0.9784,0.9781,0.9781,0.9781,results/en__xlm-roberta-large__ml128__lr2e-05__tsfull
en,xlm-roberta-large,256,1e-05,full,0.9527,0.964,0.9635,0.9635,0.9635,results/en__xlm-roberta-large__ml256__lr1e-05__tsfull
en,xlm-roberta-large,512,1e-05,full,0.9457,0.9604,0.9595,0.9603,0.9599,results/en__xlm-roberta-large__ml512__lr1e-05__tsfull
en,xlm-roberta-large,512,2e-05,full,0.9599,0.9748,0.9735,0.9758,0.9745,results/en__xlm-roberta-large__ml512__lr2e-05__tsfull
both,bert-base-multilingual-cased,128,1e-05,full,0.9403,0.963,0.9646,0.9604,0.9622,results/both__bert-base-multilingual-cased__ml128__lr1e-05__tsfull
both,bert-base-multilingual-cased,128,2e-05,full,0.9489,0.9587,0.9601,0.956,0.9578,results/both__bert-base-multilingual-cased__ml128__lr2e-05__tsfull
both,bert-base-multilingual-cased,256,1e-05,full,0.9447,0.9696,0.9702,0.9679,0.969,results/both__bert-base-multilingual-cased__ml256__lr1e-05__tsfull
both,bert-base-multilingual-cased,512,1e-05,full,0.9449,0.9565,0.9553,0.9563,0.9558,results/both__bert-base-multilingual-cased__ml512__lr1e-05__tsfull
both,bert-base-multilingual-cased,512,2e-05,full,0.947,0.963,0.9632,0.9615,0.9623,results/both__bert-base-multilingual-cased__ml512__lr2e-05__tsfull
both,xlm-roberta-base,128,1e-05,full,0.934,0.9457,0.9441,0.9456,0.9448,results/both__xlm-roberta-base__ml128__lr1e-05__tsfull
both,xlm-roberta-base,128,2e-05,full,0.9467,0.9587,0.9594,0.9565,0.9579,results/both__xlm-roberta-base__ml128__lr2e-05__tsfull
both,xlm-roberta-base,256,1e-05,full,0.9425,0.9543,0.9538,0.9533,0.9535,results/both__xlm-roberta-base__ml256__lr1e-05__tsfull
both,xlm-roberta-base,512,1e-05,full,0.9403,0.9435,0.943,0.9419,0.9424,results/both__xlm-roberta-base__ml512__lr1e-05__tsfull
both,xlm-roberta-base,512,2e-05,full,0.9469,0.9609,0.9613,0.959,0.9601,results/both__xlm-roberta-base__ml512__lr2e-05__tsfull
both,microsoft/mdeberta-v3-base,128,1e-05,full,0.9427,0.9543,0.9538,0.9533,0.9535,results/both__mdeberta-v3-base__ml128__lr1e-05__tsfull
both,microsoft/mdeberta-v3-base,128,2e-05,full,0.9427,0.95,0.9489,0.9494,0.9492,results/both__mdeberta-v3-base__ml128__lr2e-05__tsfull
both,microsoft/mdeberta-v3-base,256,1e-05,full,0.9361,0.9457,0.9441,0.9456,0.9448,results/both__mdeberta-v3-base__ml256__lr1e-05__tsfull
both,microsoft/mdeberta-v3-base,512,1e-05,full,0.9426,0.9457,0.9445,0.945,0.9447,results/both__mdeberta-v3-base__ml512__lr1e-05__tsfull
both,microsoft/mdeberta-v3-base,512,2e-05,full,0.9427,0.9587,0.957,0.9594,0.9581,results/both__mdeberta-v3-base__ml512__lr2e-05__tsfull
both,xlm-roberta-large,128,1e-05,full,0.9295,0.9435,0.943,0.9419,0.9424,results/both__xlm-roberta-large__ml128__lr1e-05__tsfull
both,xlm-roberta-large,128,2e-05,full,0.9337,0.95,0.9494,0.9488,0.9491,results/both__xlm-roberta-large__ml128__lr2e-05__tsfull
both,xlm-roberta-large,256,1e-05,full,0.9314,0.9457,0.9449,0.9444,0.9447,results/both__xlm-roberta-large__ml256__lr1e-05__tsfull
both,xlm-roberta-large,512,1e-05,full,0.9271,0.9478,0.9469,0.9469,0.9469,results/both__xlm-roberta-large__ml512__lr1e-05__tsfull
both,xlm-roberta-large,512,2e-05,full,0.9448,0.9652,0.9651,0.964,0.9646,results/both__xlm-roberta-large__ml512__lr2e-05__tsfull
